SMILES,Canonical_SMILES,MW,LogP,HBD,HBA,TPSA,RotB,Rings,QED,SA
CC(=O)OC1=CC=CC=C1C(=O)O,CC(=O)Oc1ccccc1C(=O)O,180.15899999999996,1.3101,1,3,63.60000000000001,2,1,0.5501217966938848,1.580039750008826
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,206.28499999999997,3.073200000000001,1,1,37.3,4,1,0.8215995486924975,2.1917554204925054
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Cn1c(=O)c2c(ncn2C)n(C)c1=O,194.194,-1.0293,0,3,61.82,0,2,0.5384628262372215,2.29798245679401
C1=CC=C(C=C1)C2=CC=CC=C2,c1ccc(-c2ccccc2)cc1,154.21199999999996,3.353600000000002,0,0,0.0,1,2,0.5905018880213778,1.0
CCN(CC)CC,CCN(CC)CC,101.193,1.3481,0,1,3.24,3,0,0.5183748699715436,1.9037466634471567
C1CCCCC1,C1CCCCC1,84.162,2.3406000000000002,0,0,0.0,0,1,0.42231618686094674,1.0
c1ccccc1,c1ccccc1,78.11399999999999,1.6866,0,0,0.0,0,1,0.4426283718993647,1.0
CC(=O)NC1=CC=C(C=C1)O,CC(=O)Nc1ccc(O)cc1,151.165,1.3505999999999998,2,2,49.33,1,1,0.5950261967780849,1.4072987978356917
